Ryhmä;Suomenkielinen nimi;Tieteellinen nimi;Kuvaus;Koko;Kasvupaikka;Kemia;Levinneisyys;Mikrosienet;Muuta;Löydettyjä isäntäkasveja;Isäntäkasvin muita piensieniä;Löytöpaikoista Luopioisissa;Maastotuntomerkit;Vertaa seuraaviin;Kirjallisuus;Kuva 1;Kuva 2;Kuva 3;Kuva 4;Kuva 5;Kuva 6;Kuva 7;Kuva 8;Kuva 9;Kuva 10
Putkilokasvit;Kotipihlaja;Sorbus aucuparia;Pihlaja on puumainen ruusukasvi. Puun kuori on sileä ja ruskea, lehdet 6-8 -pariset, kukinto vaalea ja tuoksuva, kukat ovat pienet ja hedelmä kellanpunainen marja.;4 - 12 m;Metsissä, pientareilla, pihoilla, rannoilla, myös koristepuu.;;Yleinen koko maassa, pohjoisessa toinen alalaji (ssp. glabrata).;pihlajan-katajanruoste (Gymnosporangium cornutum) valkovuokonpihlajaruoste (Ochropsora ariae) lepänhärmä (Phyllactinia guttata) pihlajanhaituhärmä (Podosphaera clandestina);Marjoja hyödynnetään likööriteollisuudessa. Pohjois-Savon maakuntakukka. Kaksi alalajia: etelänkotipihlaja (ssp. aucuparia) ja pohjankotipihlaja (ssp. glabrata);;;Pihlaja on alueella hyvin yleinen ja runsas puu. Puun kasvupaikkoja ovat lehtometsät, hakamaat, pientareet, pihat ja puutarhat. Kasvi kasvaa yksittäisinä puina ja pensaina. Sitä on käytetty myös pihoissa koristekasvina. Metsistä löytyy myös puumaisia pihlajia, joita tulisi säästää. Kasvi kuuluu sadan yleisimmän kasvin joukkoon Luopioisissa.;;;;;;;;;;;;;
Putkilokasvit;Kotkansiipi;Matteuccia struthiopteris;Kotkansiipi on monivuotinen, rönsyjä muodostava sanikkainen, Itiöpesäkkeelliset lehdet ovat keskellä suppilomaista kasvustoa. Ne ovat lyhyempiä ja kovempia kuin muut lehdet, jotka ovat parilehdykkäisiä, lehdykät ovat ehytlaitaisia.;30 - 150 cm;Puronvarret, lehdot, lähteiköt.;;Yleinen Etelä- ja Keski-Suomessa, harvinaistuu Pohjois-Lappiin mennessä.;;Myös koristekasvina pihoilla ja hautausmailla.;;;Kotkansiipi on alueella melko harvinainen kasvi. Kasvin löytää lehtoalueilta luonnontilaisten purojen penkereiltä ja lähteiköistä. Tällaisilla paikoilla se saatta olla hyvinkin runsas. Se kasvaa lähes aina  virtaavan veden läheisyydessä ja levittäytyy niukasti kuiville alueille. Jonkin verran kasvia on myös koristekasvina ja hoidettuna se viihtyy hyvin puutarhoissa ja saattaa levitä ympäristöönkin jonkin verran. Näitä kasvustoja ei kartoitukseen ole otettu mukaan.;;;Itiöpesäkkeellisiä versoja;;;;;;;;;;
Putkilokasvit;Niittykullero;Trollius europaeus;Kullero on monivuotinen leinikkikasvi, jonka varsi on pysty, kalju ja haaraton, lehdet pitkäruotiset ja 5-jakoiset, kukat ovat pallomaisia, 3-5 cm leveitä ja sijaitsevat yksittäin tai parittain varren latvassa.;20 - 60 cm;Lehdoissa, tulvaniityillä, lähteiköissä, pientareilla, puutarhoissa, myös koristekasvi.;;Yleinen Lapissa, etelämpänä harvinainen.;konnanmarjan-vehniönruoste (Puccinia actaea-agropyrii) kulleronruoste (Puccinia trollii) 'kulleronhärmä' (Podosphaera delphinii);Lapin maakuntakukka.;;;Kullero on alueella jokseenkin yleinen mutta niukka kasvi. Sen kasvupaikat ovat monesti ihmisasutuksen läheisyydessä lehdoissa, pellonreunoilla, kosteissa painanteissa ja niityillä. Sitä tavataan myös kauempana asutuksesta luonnonvaraisen oloisesti lehdoista ja niityiltä. Kasvia on siirretty aikoinaan puutarhoihin, joista se on taas levinnyt ja villiytynyt luontoon. Eroa luonnonkasvupaikan ja karkulaisen välillä on vaikea tehdä. Kasvustot jatkuvat alueen ulkopuolella Lammin suuntaan etelässä ja myös Kuhmalahden puolelle pohjoisessa. Kasvi on harvinaistunut 2000-luvulla.;;;- Kääntönen, M. 1996: Lisätietoja Pirkanmaan uhanalaisista kasveista 1994-1995. - Talvikki 20: 2-12. - Kuitunen, T. 1987: Eräiden lehtokasvien levinneisyydestä Luopioisten Padankoskella. - Talvikki 11: 62-73. - Tampereen seutukaavaliitto 1985: Pirkanmaan uhanalaiset kasvit. Julkaisu B 147. - 47 s. - Kuitunen, T. 1994: Autiotalojen viljely- ja koristekasveista. - Talvikki 18: 58-65.;;;;;;;;;;
Putkilokasvit;Syyspäivänhattu;Rudbeckia laciniata;Kultapallo on monivuotinen asterikasvi, jonka varsi on pysty ja kalju, lehti päältä lyhytkarvainen ja pariliuskainen, kukinto on mykerö, jonka laitakukat ovat keltaisia ja kehräkukat vihertäviä.;0,5 - 2 m;Koristekasvi puutarhoissa ja puistoissa, toisinaan viljelyjäänne tai -karkulainen puutarhoissa ja pientareilla (yleensä silloin koristelajike kultapallo).;;Yleisesti kasvatettu koristekasvina etenkin vanhoissa pihapiireissä.;;Alkuperäisen kasvin kukka on yksinkertainen (kuva 3). Koristeena viljellään kerrottuteriöistä lajiketta, jota kutsutaan kultapalloksi (kuvat 1 ja 2).;;;Kultapallo on alueella koristekasvi ja viljelyjäänne, joskus karkulainen. Sitä kasvatetaan yleisesti puutarhoissa talojen seinustoilla ja kukkapenkeissä. Autiotalojen läheisyydestä on usein löydetty viljelyjäänteitä ja ne saattavat säilyä vuosikymmeniä samalla paikalla, jopa levitä jonkin verran ympäristöönsä. Alkuperäistä syyspäivänhattua en ole alueelta  löytänyt, enkä ole nähnyt sitä myöskään puutarhoissa. Vanhan maaseutukulttuurin vaalimisen vuoksi kasvia kannattaa kasvattaa edelleenkin ja säästää siellä, mihin se on jäänyt kasvamaan.;;;- Kuitunen, T. 1994: Autiotalojen viljely- ja koristekasveista. - Talvikki 18: 58-65.;;;;;;;;;;
Putkilokasvit;Kultapiisku;XXX;Kultapiisku on monivuotinen asterikasvi, jonka varsi on vankka, särmikäs ja lähes kalju, lehdet suipot ja osittain sepivät, mykeröstö runsaskukintoinen, keltainen ja lyhythaarainen. Laitakukan kieli on <1 cm.;30 - 100 cm;Kangasmetsät, lehdot, niityt, pientareet, ravinteiset suot.;;Yleinen koko maassa.;kultapiiskunkaksoisitiöruoste (Puccinia virgae-aureae) kultapiiskunyksinäisitiöruoste (Micropuccinia solidaginis) piiskunkolohärmä (Golovinomyces asterum) 'kultapiiskunruoste' (Uromyces sommerfeltii);Lapissa toinen alalaji pohjankultapiisku (ssp. alpestris).;;;Kultapiisku on alueella hyvin yleinen ja runsas kasvi. Se kasvaa monenlaisissa metsissä ja niiden reunoilla. Kasvi kestää myös varjostusta, mutta jää silloin usein steriiliksi tai harvakukintoiseksi. Hakkuuaukeillakin se viihtyy hetken aikaa, kunnes muu kasvusto tukahduttaa sen. Kasvi kuuluu sadan yleisimmän kasvin joukkoon Luopioisissa.;;;;;;;;;;;;;
Putkilokasvit;Kumina;Carum carvi;Kumina on kaksivuotinen putkikasvi, jonka valkoiset tai punertavat kukinnot ovat suojuksettomia, lehdet tillimäiset ja hedelmät ryydintuoksuiset ja litteät.;30 - 60 cm;Kedot, pihat ja pientareet, joutomaat.;;Yleinen Etelä- ja Keski-Suomessa, harvinaistuu Etelä-Lappiin mennessä.;;Mauste- ja viljelykasvi.;;;Kumina on alueella jokseenkin harvinainen kasvi. Kumina kasvaa  pihoilla, pihateiden varsilla ja kedoilla. Se ei kestä suurempien kasvien kilpailua eikä nurmikoiden leikkaamista vaan katoaa tällaisilta paikoilta hyvin helposti. Kasvi on taantunut voimakkaasti 80-luvulta eikä sitä enää löydä samoilta paikoilta kuin ennen. Hoitamattomilla tai luonnontilaisilla pihoilla se viihtyy ja menestyy. Myös määrällisesti se on vähentynyt. Kasvia on viljelty ainakin Puutikkalan Koivulahdessa. Kasvin esiintymistä tulee pitää silmällä ja suosia sen kasvua pihapiireissä.;;;;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/carum_carvi1.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/carum_carvi2.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/carum_carvi3.jpg;;;;;;;
Putkilokasvit;Kurjenjalka;XXX;Kurjenjalka on monivuotinen ruusukasvi, jonka maavarsi on rönsymäinen ja puutunut, lehdet lyhytruotisia ja päättöparisia. Kukat ovat ratasmaiset ja ruusunpunaiset.;20 - 50 cm;Rannoilla, vedessä, allikoissa, soilla, luhtakorvissa, ojissa.;;Yleinen koko maassa.;ruusukasvinhärmä (Podosphaera aphanis);Vietiin aikaisemmin hanhikkien sukuun.;;;Kurjenjalka on alueella yleinen ja runsas kasvi. Se kasvaa rannoilla, muta-allikoissa, ojissa, rehevillä soilla ja luhdissa. Voimakkaana kasvina se valloittaa helposti uusia kasvupaikkoja häviää vasta, jos kasvualue kokonaan kuivuu. Kasvi kuuluu sadan yleisimmän kasvin joukkoon Luopioisissa.;;;;;;;;;;;;;
Putkilokasvit;Kurjenkello;Campanula persicifolia;Kurjenkello on monivuotinen kellokasvi, jonka varsi on haaraton ja kalju, lehdet nyhälaitaiset ja lähes ruodittomia, kukat ovat suuret ja yleensä siniset.;30 - 100 cm;Lehtomaiset kangasmetsät, mäenrinteet.;;Yleinen Etelä-Suomessa, harvinaistuu Keski-Suomessa.;männyn-kellokukanruoste (Coleosporium tussilaginis f. sp. campanulae-rapunculoides);Myös koristekasvina;;;Kurjenkello on jokseenkin yleinen alueella. Kasvin suuret kellot nuokkuvat yleisimmin lehto- ja sekametsissä, varjoisilla niityillä ja pientareilla. Se on tällaisilla kasvupaikoilla yleinen, muttei kovin runsas. Kurjenkellosta on löytynyt myös valkokukkaista muotoa, joka kuitenkin on melko harvinainen eikä viivy samalla kasvupaikalla vuosikausia.;;;;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/campanula_persicifolia1.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/campanula_persicifolia2.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/campanula_persicifolia3.jpg;;;;;;;
Putkilokasvit;Kurtturuusu;Rosa rugosa;Kurtturuusu on pensasmainen, juurivesoja muodostava ruusukasvi, jonka varsi on  suorapiikkinen, lehdet kurttuisia, paksuja alta karvaisia, kukka on yleensä punainen.;0,3 - 1,2 m;Koristekasvi, joskus karkulainen pientareilla, tienvarsilla ja merenrannoilla.;;Yleinen koriste Etelä- ja Keski-Suomessa.;ruusunruoste (Phragmidium mucronatum) ruusunpyöröruoste (Phragmidium tuberculatum) ruusunhärmä (Podosphaera pannosa) ruusuntummatäpläsieni (Diplocarpon rosae) ruusunlehtihome (Peronospora sparsa);Aggressiivinen tulokasvi. Koristepensaina viljellään monia kurtturuususta kehitettyjä lajikkeita (mm. Hansa-ruusut). Vieraslaji.;;;Kurtturuusu on alueella hyvin yleinen koristekasvi, joka saattaa villiytyä hiekkaisille teiden varsille. Tällöin se voi olla hyvinkin voimakas ja peittävä kasvi vieden kasvupaikan alkuperäiseltä ketokasvillisuudelta. Alueella kurtturuusu ei ole muodostanut suuria villiytyneitä kasvustoja, vaan löydetyt kasvustot ovat olleet lähinnä viljelyjäänteitä ja pienelle alueelle villiytyneitä kasvustoja. Tällaisia on löytynyt Kirkonkylän alueelta, Kuohijoelta ja Rautajärveltä. Tähän on yhdistetty kaikki kurtturuusun lajikkeet.;;;Kerrottuteriöinen (Hansa-ruusu);;;;;;;;;;
Putkilokasvit;Kyläkarhiainen;Carduus crispus;Kyläkarhiainen on 2-vuotinen asterikasvi, jonka seittikarvainen varsi on siipipalteinen, kukat punaisia mykeröitä ja valkokarvaiset lehdet parijakoisia ja hentopiikkisiä. Kasvi sekoittuu helposti ohdakkeisiin.;50 - 180 cm;Pihoilla ja pientareilla asutuksen lähellä.;;Jokseenkin yleinen koko maassa.;ohdakkeenkolohärmä (Golovinomyces montagnei) takiaisenruoste (Puccinia calcitrapae);;;;Kyläkarhiainen on alueella melko yleinen. Kasvi viihtyy kyläteiden ja peltojen pientareilla sekä vanhojen navettojen ympäristössä. Se kasvaa selvästi asutuksen piirissä toisin kuin ohdakkeet. Määrällisesti kasvi on vähentynyt 80-luvulta alkaen, vaikka sen edelleen löytääkin vanhoilta kasvupaikoiltaan. Kasvia tulee pitää silmällä.;;;;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/carduus_crispus1.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/carduus_crispus2.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/carduus_crispus3.jpg;;;;;;;
Putkilokasvit;Kyläkellukka;Geum urbanum;Kyläkellukka on monivuotinen ruusukasvi, jonka varsi on pehmeäkarvainen, lehdet päättöpariset, kukat ovat pystyjä, laakeita ja keltaisia, hedelmystö on pallomainen ja koukkukarvainen.;30 - 70 cm;Lehdoissa, puistoissa, pientareilla.;;Jokseenkin harvinainen Etelä-Suomessa.;mansikanhaituhärmä (Podosphaera aphanis) kellukanlaikkusieni (Ramularia gei);Risteytyy ojakellukan kanssa yhteisillä kasvupaikoilla.;;;Kyläkellukka on alueella harvinainen piennarkasvi. Sen voi löytää Kirkonkylän tienvarsilta, puutarhojen reunoilta, pensasaidoista  ja rantametsistä rikkakasvin luontoisena. Lisäksi Hannu Alén on löytänyt kasvia  Kaukkalan kylänraitilta ja Aitoon emäntäkoulun alueelta. Kuivassalmessa on myös puutarhassa villiintyneenä pieni kasvusto. Epävarma havainto on myös Kankahuvenlahden länsirannalta. Kasvi on lisääntynyt 2000-luvulla.;;;Kellukkaristeymä (Geum rivale x urbanum);;;;;;;;;;
Putkilokasvit;Kyläkurjenpolvi;Geranium pratense;Kyläkurjenpolvi on monivuotinen kurjenpolvikasvi, jonka varsi on pysty, tiheäkarvainen ja tylppäsärmäinen, lehdet sormiosaisia, liuskaisia ja isohampaisia, kukat ovat pareittain, 30-40 mm leveitä ja väriltään violetteja.;30 - 70 cm;Koristekasvi ja toisinaan viljelyjäänne tai -karkulainen asutuksen lähellä.;;Harvinainen Etelä- ja Keski-Suomessa Etelä-Lappiin saakka.;kurjenpolvenvalkohome (Plasmopara pusilla) kurjenpolvenhaituhärmä (Podosphaera fugax);;;;Kyläkurjenpolvi on alueella vanha koristekasvi. Se saattaa villiintyä puutarhan reunoille tai säilyä joitakin vuosia koristejäänteenä hylätyissä puutarhoissa. Padankosken esiintymä oli autiotalon puutarhassa, mutta tukehtui muun kasvillisuuden alle 2000-luvulla. Nykyään se kasvaa koristekarkulainen Kyläjärven rannassa. Kaukkalan kylätaajamassa ja Kuohijoella kasvi kasvoi myös satunnaisena. Myös Rautajärven kartanon mailta Lauri Oesch löysi kasvin kesällä 2009. Joskus kasvi on vaikea erottaa metsäkurjenpolvesta, mutta on yleensä kookkaampi ja rotevampi.;;;;;;;;;;;;;
Putkilokasvit;Kylämaltsa;Atriplex patula;Kylämaltsa on yksivuotinen savikkakasvi, jolla on pysty suikertava varsi ja pitkulaiset lehdet, joissa tyvellä eteenpäin suuntaunut hammaspari. Sen kukinnot ovat tähkämäiset ja lehdekkäät. Hedelmäverhiö on kookas ja hampainen.;30 - 60 cm;Puutarhoissa, karjapihoilla, joutomailla.;;Jokseenkin yleinen Etelä- ja Keski-Suomessa.;maltsanlehtihome' (Peronospora arborescens);Typensuosija;;;Kylämaltsa on alueella nykyään harvinainen ja vähälukuinen. Karjataludesta ja typpipitoisesta maasta riippuvainen kylämaltsa on harvinaistunut voimakkaasti vuosien saatossa. Alunperin se on kasvanut rikkana lähes jokaisen navetan karjapihalla ja sen on saattanut löytää myös kasvimailta, pelloilta ja pientareilta. Nykyään sen löytää vain sieltä, missä on käsitelty typpipitoista karjanlantaa tai rehua. Se viihtyy alueilla hetken, mutta ravinnon loputtu, myös kasvi katoaa. Kylämaltsan esiintymistä on pidettävä silmällä.;;;;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/atriplex_patula1.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/atriplex_patula2.jpg;;;;;;;;
Putkilokasvit;Neidonkieli;XXX;Kyläneidonkieli on kaksivuotinen lemmikkikasvi, jonka varsi on karkeakarvainen, lehdet suikeita, 1-suonisia. Kukinto on kiemura, yksittäiset kukat sinivioletteja, vastakohtaisia ja suppilomaisia. Heteet 4-5 kpl teriötä pidempiä.;30 - 90 cm, pysty tai koheneva.;Koristekasvi tai satunnainen tulokas. Kasvaa tien varsilla, lastausalueilla, kedoilla ja viljelykarkulaisena puutarhoissa.;;Vakiintuneena tulokkaana Etelä-Suomessa, mutta tavataan satunnaisena Oulun korkeudelle saakka lähinnä rannikoilla.;;;;;Kyläneidonkieli on alueella harvinainen satunnaiskasvi. Koristeena en sitä ole tavannut. Syksyllä vuonna 2018 kasvi ilmaantui Puutikkalaan Koivulahden puutarhaan suurena ruusukkeena. Se säilyi talven yli ja kukki komeasti kesällä 2019. Kasvin alkuperä lienee lintujen ruokintapaikalta varisseissa siemenissä. Kyläneidonkieltä saattaa olla muullakin Luopioisten alueella, sillä se on viime vuosina jonkin verran laajentanut kasvualuettaan.;;;;;;;;;;;;;
Putkilokasvit;Kylänurmikka;Poa annua;Kylänurmikka on yksivuotinen, mätästävä heinäkasvi. Sen verso on rönsytön, korsi polvekas ja röyhy leveä kartiomainen.;5 - 30 cm;Nurmikoilla, pihoila, pelloilla, pientareilla, puutarhoissa.;;Yleinen koko maassa.;lusteenruoste (Puccinia brachypodii) heinänhärmä (Blumeria graminis) leskenlehdennurmikkaruoste (Puccinia poarum) viirunoki (Ustilago striiformis) heinänrupinoki (Jamesdicksonia dactylidis);On yksi Etelämantereen kolmesta putkilokasvista.;;;Kylänurmikka kasvaa alueella yleisenä ja runsaana. Nurmikka  kasvaa pihoilla ja kyläteillä, metsäautoteillä ja pellonreunoilla sellaisilla paikoilla, missä kasvillisuus pysyy matalana. Se on paikan avoimmuudesta riippuen  runsas, mutta vuotuiset vaihtelut ovat suuria. Yksivuotisena kasvi leviää helposti rikkakasviksi puutarhoihin ja viljapeltoihin, joissa se saattaa kukkia vielä joulukuussakin. Kasvi kuuluu sadan yleisimmän kasvin joukkoon Luopioisissa.;;;;;;;;;;;;;
Putkilokasvit;Lähdetähtimö;Stellaria alsine;Lähdetähtimö on monivuotinen kohokkikasvi, jonka varsi on rento ja koheneva, lehdet vastakkain, paksut, kaljut ja sinivihreät, kukinto on lehtihankainen ja sen tukilehdet kalvomaiset kaljut. Teriö on hyvin pieni.;10 - 20 cm;Lähteiköissä, pellonojissa, korvissa, kosteilla metsäteillä.;;Melko yleinen Etelä-Suomessa, Keski-Suomessa jo harvinaisuus.;tähtimönhedenoki (Microbotryum stellaria);;;;Lähdetähtimö on alueella hyvin harvinainen. Sen ainoa kasvupaikka löytyi tuoreesta kankasmetsästä Ämmätsänjärven länsipuolelta lähteisestä rinteestä. Kasvia kasvoi siellä vain muutama verso pienellä alueella vuonna 2003. Kasvuston nykytilasta ei ole tietoa. Lähdetähtimön luulisi olevan yleisempi Luopioisissa, mutta etsiskelyistä huolimatta sitä ei ole löydetty tämän enempää. Lähteet ja lähteiset metsät ovat tuhoutuneet, joten kasvikin on hävinnyt. Tosin siitä ei löydy rekisteristäkään tämän  enempää merkintöjä. Aitoon kaksi merkintää ovat rajaruuduissa ja  vanhan Pälkäneen puolella.;;;;;;;;;;;;;
Putkilokasvit;Lähteikköpoimulehti;Alchemilla glabra;Lähteikköpoimulehti on monivuotinen ruusukasvi. Sen kukinnot ovat kaljut, varret kaljuja toisesta nivelestä ylöspäin, karvat ovat varrenmyötäisiä, lehdet suuria, sinivihreitä ja alta suonten kärjestä karvaisia. Lehtiliuskassa on 13 - 17 kpl hampaita.;30 - 60 cm;Kosteilla niityillä, lähteiköissä ja ojien varsilla.;;Harvinainen Etelä- ja Keski-Suomessa ja Tunturi-Lapissa.;poimulehdenruoste (Trachyspora intrusa) mansikanhaituhärmä (Podosphaera aphanis) poimulehdenlaikkusieni (Ramularia haplospora) poimulehdenlehtihome (Peronospora alchemillae);Apomiktinen pikkulaji;;;Poimulehtien suvun edustajista alueella harvinaisiin kuuluvat  lähteikkö-, tylppähammas-, keräpää- ja laskospoimulehti. Lähteikköpoimulehden erottaa muista suuren karvattoman lehden perusteella. Sen kasvupaikkoja ovat alueella lähteiset niityt ja aukeat. Kuohijoella sitä kasvaa kalkkialueen läheisyydessä suojelualueen ulkopuolella ja Haikanmaantien varressa kosteassa notkossa hakuuaukealla. Ämmätsän esiintymä on lähteisessä pellonpäädyssä ja on vaarassa tulla kynnetyksi tai ojaa kaivettaessa hävitetyksi. Vanhan Pälkäneen puolella kasvi tunnetaan noin sadasta ruudusta, joten lähteikköpoimulehti lienee tälläkin alueella yleisempi kuin nykyinen levinneisyyskartta osoittaa.;;;;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/alchemilla_glabra1.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/alchemilla_glabra2.jpg;;;;;;;;
Putkilokasvit;Laidunpoimulehti;Alchemilla monticola;Laidunpoimulehti on monivuotinen ruusukasvi. Kukkapohjuksissa on yksittäisiä karvoja, varret ovat ylös asti ulospäin siirottavakarvaiset. Lehdet ovat pyöreitä, tummia ja lehtiliuskoissa on 15 - 19 kpl hampaita.;20 - 60 cm;Niityillä, pientareilla, kuivilla pelloilla, pihoilla.;;Yleinen koko maassa, harvinaistuu Lapissa.;poimulehdenruoste (Trachyspora intrusa) mansikanhaituhärmä (Podosphaera aphanis) poimulehdenlaikkusieni (Ramularia haplospora) poimulehdenlehtihome (Peronospora alchemillae);Apomiktinen pikkulaji;;;Poimulehtien suvun edustajista alueella yleisimmät ovat piennar-, laidun- ja hakamaapoimulehti. Niitä tapaa lähes jokaisesta ruudusta, jossa vain on peltoa, laidunta, kosteaa piennarta tai joutomaata. Laidunpoimulehti on ehkä alueen runsain poimulehti. Sen tapaa kaikkialta, missä on ihmistoimintaa, kuivilta ja kosteilta paikoilta, pihoilta, metsistä ja pelloilta. Rantoja lähdepaikkoja se karttaa. Kasvi kuuluu sadan yleisimmän kasvin joukkoon Luopioisissa.;;;;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/alchemilla_monticola1.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/alchemilla_monticola2.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/alchemilla_monticola3.jpg;;;;;;;
Putkilokasvit;Lampaannata;Festuca ovina;Lampaannata on monivuotinen heinäkasvi. Sen kasvutapa on tiheään mätästävä jka se on rönsytön. Lehtien tyvitupet ovat kellertävät, lehdet rihmamaiset, himmeät ja vihreät, kapea röyhy on 3-5 mm pitkä.;15 - 40 cm;Kuivilla kallioilla, niityillä, pientareilla, metsissä, hietikoilla.;;Yleinen koko maassa.;nadanitiöpallonoki (Tuburcinia macrospora) nadannoki (Ustilago festucarum) nadanruoste (Puccinia festucae);;;;Lampaannata on alueella hyvin yleinen ja runsas kasvi. Sen kasvupaikkoja ovat kuivat kangasmetsät, kalliot ja kivikot. Kasvin pieniä mättäitä saattaa löytyä myös polkujen reunoilta ja suosaarekkeista. Joillakin kosteilla paikoilla sen saattaa sekoittaa jäkkiin ja maantien reunoilla jäykkänataan. Kasvi kuuluu sadan yleisimmän kasvin joukkoon Luopioisissa.;;;;;;;;;;;;;
Putkilokasvit;Lamparevesikuusi;Hippuris vulgaris;Lamparevesikuusi on monivuotinen vesikasvi. Sen ilmaversot ovat kuusimaiset ja jokaisessa kiehkurassa on 8-12 lehteä. Perättömät kukat ovat lehtihangoissa.;10 - 60 cm;Lammikoissa, ojissa, savikuopissa, matalassa vedessä.;;Yleinen koko maassa.;vesikuusenkaislaruoste (Uromyces lineolatus);;;;Vesikuusi on alueella melko yleinen. Sen voi löytää paikoista, joissa vesi säilyy kuivankin ajan yli eli ojista, rannoilta, lampareista ja mutahaudoista. Suurta karhunsammalta muistuttava verso saattaa jäädä huomaamatta muun kasvillisuuden sekaan. Kasvi on yleistynyt vuosien varrella ja se näyttää hyötyvän vesien rehevöitymisestä.;;;;;;;;;;;;;
Putkilokasvit;Lännensorsimo;Glyceria grandis;Lännensorsimo on monivuotinen heinäkasvi, jonka varsi on pysty ja kasvi on mätästävä. Lehdet ovat leveät, litteät ja vaaleanvihreät, kukinto harsu röyhy, haarat sileät ja hennot, kukat sinipunertavat. Kasvi on pienempi kuin isosorsimo.;50 - 100 cm;Märillä paikoilla, pelloilla, nurmillä, joutomailla.;;Harvinainen nurmisiementulokas.;;;;;Lännensorsimo on alueella  harvinainen satunnaiskasvi. Kasvi löytyi vanhalta suopellolta Kurkisuon W-puolelta, jossa sitä kasvoi pellonreunassa n. 100 m matkalla harvakseltaan 10 m leveänä vyöhykkeenä muiden heinien (Niittyjuola, nurmilauha, korpikastikka) joukossa. Kasvi on heinänsiementulokas, sen tarkemmasta alkuperästä eikä iästä ei ole tietoa. Kasvustoa tulee pitää silmällä.;;;;;;;;;;;;;
Putkilokasvit;Laskospoimulehti;Alchemilla plicata;Laskospoimulehti on monivuotinen ruusukasvi. Kukkapohjukset ovat karvaiset, varret yläviistoon siirottavakarvaiset, lehtiliuskassa 9 - 11 hammasta. Lehdet ovat paksuhkot ja tyvilovi leveä.;10 - 40 cm;Kuivilla kedoilla ja niityillä, hakamailla ja pihoissa.;;Jokseenkin harvinainen Etelä- ja Keski-Suomessa.;poimulehdenruoste (Trachyspora intrusa) mansikanhaituhärmä (Podosphaera aphanis) poimulehdenlaikkusieni (Ramularia haplospora) poimulehdenlehtihome (Peronospora alchemillae);Apomiktinen pikkulaji.;;;Poimulehtien suvun edustajista alueella harvinaisiin kuuluvat lähteikkö-, tylppähammas-, keräpää- ja laskospoimulehti. Laskospoimulehti jää turhan helposti huomaamatta tai sitten se todella on juuri kartan mukaisesti harvinainen. Itse olen nähnyt sen Luopioisissa ainoastaan kartalla näkyvissä paikoissa enkä niiltäkään paikoilta enää uudelleen. Puutikkalan kasvupaikalla se on viihtynyt muutaman vuoden. Tavattu viimeksi kesällä 2011, jolloin se on valokuvattu. Kasvia tulisi pitää silmällä alueella, että sen oppisi tuntemaan ja sen todellinen levinnäisyys paljastuisi. Poimulehdet tulisi määrittää kukkimisaikana, sillä myöhemmin niiden tuntomerkit häviävät. Myöskään ennen kukkimista niitä ei pysty kaikkia määrittämään.;;;;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/alchemilla_plicata1.jpg;;;;;;;;;
